equipo,precio,rezago,corr
Price_Equipo1,Price_X,0,0.3374
Price_Equipo1,Price_X,1,0.2766
Price_Equipo1,Price_X,2,0.063
Price_Equipo1,Price_X,3,-0.1261
Price_Equipo1,Price_Y,0,0.9958
Price_Equipo1,Price_Y,1,0.4269
Price_Equipo1,Price_Y,2,-0.0464
Price_Equipo1,Price_Y,3,-0.0637
Price_Equipo1,Price_Z,0,0.4412
Price_Equipo1,Price_Z,1,0.4045
Price_Equipo1,Price_Z,2,0.1462
Price_Equipo1,Price_Z,3,-0.0504
Price_Equipo2,Price_X,0,0.5061
Price_Equipo2,Price_X,1,0.2523
Price_Equipo2,Price_X,2,0.0452
Price_Equipo2,Price_X,3,-0.1118
Price_Equipo2,Price_Y,0,0.652
Price_Equipo2,Price_Y,1,0.2664
Price_Equipo2,Price_Y,2,-0.0303
Price_Equipo2,Price_Y,3,-0.041
Price_Equipo2,Price_Z,0,0.957
Price_Equipo2,Price_Z,1,0.3174
Price_Equipo2,Price_Z,2,0.0332
Price_Equipo2,Price_Z,3,-0.0133
