fecha,equipo,tipo,valor,p05,p95
2010-01-31,Price_Equipo1,historico,451.82,,
2010-02-28,Price_Equipo1,historico,444.14,,
2010-03-31,Price_Equipo1,historico,501.01,,
2010-04-30,Price_Equipo1,historico,560.58,,
2010-05-31,Price_Equipo1,historico,558.78,,
2010-06-30,Price_Equipo1,historico,507.04,,
2010-07-31,Price_Equipo1,historico,498.32,,
2010-08-31,Price_Equipo1,historico,520.49,,
2010-09-30,Price_Equipo1,historico,517.26,,
2010-10-31,Price_Equipo1,historico,491.79,,
2010-11-30,Price_Equipo1,historico,508.73,,
2010-12-31,Price_Equipo1,historico,518.36,,
2011-01-31,Price_Equipo1,historico,560.64,,
2011-02-28,Price_Equipo1,historico,610.51,,
2011-03-31,Price_Equipo1,historico,598.61,,
2011-04-30,Price_Equipo1,historico,594.49,,
2011-05-31,Price_Equipo1,historico,582.97,,
2011-06-30,Price_Equipo1,historico,576.5,,
2011-07-31,Price_Equipo1,historico,576.1,,
2011-08-31,Price_Equipo1,historico,584.35,,
2011-09-30,Price_Equipo1,historico,587.69,,
2011-10-31,Price_Equipo1,historico,552.04,,
2011-11-30,Price_Equipo1,historico,509.02,,
2011-12-31,Price_Equipo1,historico,512.85,,
2012-01-31,Price_Equipo1,historico,519.14,,
2012-02-29,Price_Equipo1,historico,532.14,,
2012-03-31,Price_Equipo1,historico,542.92,,
2012-04-30,Price_Equipo1,historico,537.15,,
2012-05-31,Price_Equipo1,historico,522.94,,
2012-06-30,Price_Equipo1,historico,500.34,,
2012-07-31,Price_Equipo1,historico,482.6,,
2012-08-31,Price_Equipo1,historico,453.41,,
2012-09-30,Price_Equipo1,historico,428.02,,
2012-10-31,Price_Equipo1,historico,444.7,,
2012-11-30,Price_Equipo1,historico,453.95,,
2012-12-31,Price_Equipo1,historico,458.23,,
2013-01-31,Price_Equipo1,historico,489.6,,
2013-02-28,Price_Equipo1,historico,515.8,,
2013-03-31,Price_Equipo1,historico,499.38,,
2013-04-30,Price_Equipo1,historico,464.0,,
2013-05-31,Price_Equipo1,historico,439.21,,
2013-06-30,Price_Equipo1,historico,421.82,,
2013-07-31,Price_Equipo1,historico,430.14,,
2013-08-31,Price_Equipo1,historico,443.78,,
2013-09-30,Price_Equipo1,historico,454.87,,
2013-10-31,Price_Equipo1,historico,442.05,,
2013-11-30,Price_Equipo1,historico,439.25,,
2013-12-31,Price_Equipo1,historico,442.95,,
2014-01-31,Price_Equipo1,historico,445.23,,
2014-02-28,Price_Equipo1,historico,443.07,,
2014-03-31,Price_Equipo1,historico,438.86,,
2014-04-30,Price_Equipo1,historico,437.94,,
2014-05-31,Price_Equipo1,historico,431.79,,
2014-06-30,Price_Equipo1,historico,431.09,,
2014-07-31,Price_Equipo1,historico,426.97,,
2014-08-31,Price_Equipo1,historico,424.67,,
2014-09-30,Price_Equipo1,historico,416.52,,
2014-10-31,Price_Equipo1,historico,403.07,,
2014-11-30,Price_Equipo1,historico,389.67,,
2014-12-31,Price_Equipo1,historico,377.29,,
2015-01-31,Price_Equipo1,historico,359.03,,
2015-02-28,Price_Equipo1,historico,316.23,,
2015-03-31,Price_Equipo1,historico,310.35,,
2015-04-30,Price_Equipo1,historico,307.83,,
2015-05-31,Price_Equipo1,historico,301.21,,
2015-06-30,Price_Equipo1,historico,290.6,,
2015-07-31,Price_Equipo1,historico,266.85,,
2015-08-31,Price_Equipo1,historico,256.16,,
2015-09-30,Price_Equipo1,historico,240.74,,
2015-10-31,Price_Equipo1,historico,225.4,,
2015-11-30,Price_Equipo1,historico,219.33,,
2015-12-31,Price_Equipo1,historico,214.87,,
2016-01-31,Price_Equipo1,historico,224.32,,
2016-02-29,Price_Equipo1,historico,227.05,,
2016-03-31,Price_Equipo1,historico,266.35,,
2016-04-30,Price_Equipo1,historico,339.14,,
2016-05-31,Price_Equipo1,historico,323.79,,
2016-06-30,Price_Equipo1,historico,278.79,,
2016-07-31,Price_Equipo1,historico,295.4,,
2016-08-31,Price_Equipo1,historico,313.12,,
2016-09-30,Price_Equipo1,historico,319.15,,
2016-10-31,Price_Equipo1,historico,318.9,,
2016-11-30,Price_Equipo1,historico,377.64,,
2016-12-31,Price_Equipo1,historico,411.43,,
2017-01-31,Price_Equipo1,historico,404.13,,
2017-02-28,Price_Equipo1,historico,414.11,,
2017-03-31,Price_Equipo1,historico,410.79,,
2017-04-30,Price_Equipo1,historico,365.57,,
2017-05-31,Price_Equipo1,historico,354.91,,
2017-06-30,Price_Equipo1,historico,364.2,,
2017-07-31,Price_Equipo1,historico,397.1,,
2017-08-31,Price_Equipo1,historico,440.06,,
2017-09-30,Price_Equipo1,historico,470.46,,
2017-10-31,Price_Equipo1,historico,460.26,,
2017-11-30,Price_Equipo1,historico,451.61,,
2017-12-31,Price_Equipo1,historico,471.83,,
2018-01-31,Price_Equipo1,historico,472.35,,
2018-02-28,Price_Equipo1,historico,489.27,,
2018-03-31,Price_Equipo1,historico,490.29,,
2018-04-30,Price_Equipo1,historico,480.83,,
2018-05-31,Price_Equipo1,historico,484.87,,
2018-06-30,Price_Equipo1,historico,492.42,,
2018-07-31,Price_Equipo1,historico,480.47,,
2018-08-31,Price_Equipo1,historico,472.16,,
2018-09-30,Price_Equipo1,historico,472.64,,
2018-10-31,Price_Equipo1,historico,456.87,,
2018-11-30,Price_Equipo1,historico,414.86,,
2018-12-31,Price_Equipo1,historico,395.05,,
2019-01-31,Price_Equipo1,historico,398.34,,
2019-02-28,Price_Equipo1,historico,420.97,,
2019-03-31,Price_Equipo1,historico,441.79,,
2019-04-30,Price_Equipo1,historico,436.08,,
2019-05-31,Price_Equipo1,historico,426.32,,
2019-06-30,Price_Equipo1,historico,405.89,,
2019-07-31,Price_Equipo1,historico,419.99,,
2019-08-31,Price_Equipo1,historico,398.13,,
2019-09-30,Price_Equipo1,historico,382.36,,
2019-10-31,Price_Equipo1,historico,365.52,,
2019-11-30,Price_Equipo1,historico,367.92,,
2019-12-31,Price_Equipo1,historico,390.54,,
2020-01-31,Price_Equipo1,historico,406.06,,
2020-02-29,Price_Equipo1,historico,382.74,,
2020-03-31,Price_Equipo1,historico,363.95,,
2020-04-30,Price_Equipo1,historico,330.1,,
2020-05-31,Price_Equipo1,historico,338.38,,
2020-06-30,Price_Equipo1,historico,360.79,,
2020-07-31,Price_Equipo1,historico,380.48,,
2020-08-31,Price_Equipo1,historico,414.45,,
2020-09-30,Price_Equipo1,historico,418.7,,
2020-10-31,Price_Equipo1,historico,417.55,,
2020-11-30,Price_Equipo1,historico,451.23,,
2020-12-31,Price_Equipo1,historico,526.33,,
2021-01-31,Price_Equipo1,historico,530.16,,
