equipo,materia,choque,precio,impacto
Price_Equipo1,Price_X,-20.0,459.17,-0.73
Price_Equipo1,Price_X,-10.0,460.95,-0.35
Price_Equipo1,Price_X,10.0,464.0,0.31
Price_Equipo1,Price_X,20.0,465.33,0.6
Price_Equipo1,Price_Y,-20.0,372.68,-19.43
Price_Equipo1,Price_Y,-10.0,417.7,-9.7
Price_Equipo1,Price_Y,10.0,507.26,9.67
Price_Equipo1,Price_Y,20.0,551.84,19.3
Price_Equipo2,Price_X,-20.0,920.57,-0.63
Price_Equipo2,Price_X,-10.0,923.66,-0.3
Price_Equipo2,Price_X,10.0,928.95,0.27
Price_Equipo2,Price_X,20.0,931.26,0.52
Price_Equipo2,Price_Y,-20.0,885.07,-4.46
Price_Equipo2,Price_Y,-10.0,906.67,-2.13
Price_Equipo2,Price_Y,10.0,944.69,1.97
Price_Equipo2,Price_Y,20.0,961.66,3.8
Price_Equipo2,Price_Z,-20.0,781.88,-15.6
Price_Equipo2,Price_Z,-10.0,855.12,-7.7
Price_Equipo2,Price_Z,10.0,996.06,7.51
Price_Equipo2,Price_Z,20.0,1064.18,14.87
